epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.657,1.98721,3.41795,1.77637,0.46355,0.30931,0.28601,0.13864,2.01992,2.53833,1.70204,0.00333107,0.00333107,0.00333107
2,866.572,1.87921,2.2619,1.6414,0.46296,0.27353,0.26093,0.12749,2.05525,2.5292,1.78037,0.00659843,0.00659843,0.00659843
3,1286.53,1.9639,2.39331,1.72215,0.40609,0.25715,0.22641,0.09999,2.14039,2.71279,1.91312,0.00979978,0.00979978,0.00979978
4,1704.7,1.9951,2.45365,1.774,0.40165,0.26508,0.23313,0.10548,2.10776,2.79366,1.87659,0.009703,0.009703,0.009703
5,2123.19,1.92447,2.30406,1.72248,0.58429,0.32383,0.31042,0.14962,1.98259,2.27429,1.78795,0.009604,0.009604,0.009604
6,2542.88,1.88296,2.21143,1.69256,0.50336,0.34283,0.34527,0.16541,1.93553,2.21118,1.72467,0.009505,0.009505,0.009505
7,2961.19,1.85318,2.16085,1.67508,0.60805,0.36445,0.36474,0.17442,1.91214,2.1769,1.72571,0.009406,0.009406,0.009406
8,3380.07,1.82666,2.09572,1.65127,0.52018,0.37985,0.39689,0.19417,1.89758,2.06194,1.70758,0.009307,0.009307,0.009307
9,3798.37,1.80605,2.04727,1.63265,0.63567,0.38746,0.40817,0.20549,1.84844,2.03214,1.67035,0.009208,0.009208,0.009208
10,4216.52,1.78996,2.01966,1.62144,0.58281,0.40115,0.40812,0.21097,1.8469,1.9844,1.64836,0.009109,0.009109,0.009109
11,4634.13,1.77365,1.97908,1.60608,0.55603,0.42961,0.43731,0.22032,1.82043,1.92043,1.63664,0.00901,0.00901,0.00901
12,5053,1.75966,1.94939,1.59581,0.64336,0.42412,0.45204,0.22317,1.81229,1.91189,1.64782,0.008911,0.008911,0.008911
13,5470.9,1.74842,1.9322,1.58435,0.58341,0.45342,0.47574,0.24891,1.79025,1.8594,1.61982,0.008812,0.008812,0.008812
